brand,rating,price,processor_brand,num_processor,processor_speed,ram,memory_inbuilt,battery_capacity,charger,charging,display_size_inches,pixel,resolution_width,resolution_height,ppi,frequency_display_hz,primary_front_camera,secondry_front_camera,primary_rear_camera,secondry_rear_camera,os_brand,version,memory_card_upto,sim,is_5G,is_wifi
Samsung,4.55,54999,Exynos,8.0,2.4,6.0,128.0,8000.0,45.0,Fast,11.0,1600x2560,1600.0,2560.0,274.4430874780103,120.0,8.0,0.0,13.0,5.0,Unknown,0.0,1TB,Single Sim,5G,Wi-Fi
Lenovo,4.7,14990,Helio,8.0,2.0,4.0,64.0,5000.0,0.0,Unknown,10.1,1280x800,1280.0,800.0,149.44920605238187,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,256GB,Single Sim,not_available,Wi-Fi
Apple,4.65,64886,Apple,6.0,0.0,0.0,64.0,0.0,0.0,Unknown,10.9,1640x2360,1640.0,2360.0,263.65893499722654,0.0,7.0,0.0,12.0,0.0,iPadOS,14.0,Not_available,Single Sim,not_available,Wi-Fi
Lenovo,4.5,19999,Helio,8.0,1.99,4.0,128.0,7000.0,0.0,Unknown,10.1,1920x1200,1920.0,1200.0,224.17380907857276,0.0,2.0,0.0,8.0,0.0,Unknown,0.0,Unknown,Unknown,not_available,Wi-Fi
Lenovo,4.45,6900,Helio,8.0,2.0,2.0,32.0,5100.0,0.0,Unknown,8.0,1920x1200,1920.0,1200.0,283.0194339616981,0.0,5.0,0.0,0.0,0.0,Unknown,0.0,Unknown,Single Sim,not_available,Wi-Fi
Lenovo,4.5,14494,Helio,8.0,2.0,3.0,32.0,5100.0,0.0,Unknown,8.0,1920x1200,1920.0,1200.0,283.0194339616981,0.0,5.0,0.0,0.0,0.0,Unknown,0.0,Unknown,Single Sim,not_available,Wi-Fi
Apple,4.7,29475,Apple,6.0,2.5,3.0,32.0,0.0,0.0,Unknown,10.2,1620x2160,1620.0,2160.0,264.7058823529412,0.0,1.2,0.0,8.0,0.0,iPadOS,14.0,Not_available,Unknown,not_available,Wi-Fi
Lenovo,4.5,9000,Snapdragon,8.0,1.8,3.0,32.0,4850.0,0.0,Unknown,10.1,1280x800,1280.0,800.0,149.44920605238187,0.0,2.0,0.0,5.0,0.0,Unknown,0.0,256GB,Single Sim,not_available,Wi-Fi
Acer,4.15,11990,Helio,4.0,1.5,3.0,32.0,5800.0,0.0,Unknown,10.0,800x1280,800.0,1280.0,150.94369811290568,0.0,0.0,0.0,5.0,0.0,Unknown,0.0,Supported,Single Sim,not_available,Wi-Fi
Lenovo,4.65,6897,Snapdragon,8.0,1.8,2.0,16.0,4850.0,0.0,Unknown,10.1,1280x800,1280.0,800.0,149.44920605238187,0.0,2.0,0.0,5.0,0.0,Unknown,0.0,256GB,Single Sim,not_available,Wi-Fi
Lenovo,4.25,6900,Helio,4.0,1.3,2.0,32.0,3500.0,0.0,Unknown,7.0,1024x600,1024.0,600.0,169.54777786686512,0.0,2.0,0.0,2.0,0.0,Unknown,0.0,128GB,Single Sim,not_available,Wi-Fi
Lenovo,4.4,42999,Snapdragon,8.0,2.2,6.0,128.0,8600.0,0.0,Unknown,11.5,2560x1600,2560.0,1600.0,262.5107793267925,0.0,8.0,8.0,13.0,5.0,Unknown,0.0,256GB,Single Sim,not_available,Wi-Fi
Swipe,4.1,8899,MT8765B,4.0,1.28,2.0,16.0,5000.0,0.0,Unknown,10.1,1280x720,1280.0,720.0,145.40641386681838,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,128GB,Dual Sim,not_available,Wi-Fi
Samsung,4.45,19990,Snapdragon,8.0,2.0,3.0,32.0,7040.0,0.0,Fast,10.4,1200x2000,1200.0,2000.0,224.26738057097307,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,1TB,Single Sim,not_available,Wi-Fi
Apple,4.5,120169,A12Z,8.0,2.5,6.0,1000.0,0.0,0.0,Unknown,11.0,1668x2388,1668.0,2388.0,264.8056826935118,120.0,7.0,0.0,12.0,10.0,iOS,14.0,Not_available,Single Sim,not_available,Wi-Fi
iBall,4.45,4500,Quad,4.0,1.3,1.0,8.0,2800.0,0.0,Unknown,7.0,600x1024,600.0,1024.0,169.54777786686512,0.0,0.3,0.0,2.0,0.0,Unknown,0.0,64GB,Dual Sim,not_available,Wi-Fi
Swipe,4.05,5999,Helio,4.0,1.28,3.0,32.0,3000.0,0.0,Unknown,7.0,600x1024,600.0,1024.0,169.54777786686512,0.0,2.0,0.0,5.0,0.0,Unknown,0.0,128GB,Dual Sim,not_available,Wi-Fi
Lenovo,4.65,7369,Snapdragon,8.0,1.8,2.0,16.0,5180.0,0.0,Unknown,6.9,1080x2160,1080.0,2160.0,349.993248652141,0.0,5.0,0.0,13.0,0.0,Unknown,0.0,256GB,Dual Sim,not_available,Wi-Fi
iKall,4.5,4499,Quad,4.0,1.0,2.0,16.0,3000.0,0.0,Unknown,7.0,1024x600,1024.0,600.0,169.54777786686512,0.0,2.0,0.0,5.0,0.0,Unknown,0.0,Supported,Dual Sim,not_available,Wi-Fi
DOMO,4.65,6999,Cortex,4.0,1.5,2.0,32.0,5020.0,0.0,Unknown,10.1,1280x800,1280.0,800.0,149.44920605238187,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,128GB,Dual Sim,not_available,Wi-Fi
iBall,4.5,9990,Cortex,8.0,1.2,2.0,32.0,7000.0,0.0,Unknown,10.1,1200x1920,1200.0,1920.0,224.17380907857276,0.0,8.0,0.0,8.0,0.0,Unknown,0.0,256GB,Single Sim,not_available,Wi-Fi
iBall,4.35,6499,Cortex,8.0,1.6,2.0,32.0,4000.0,0.0,Unknown,8.0,1200x1920,1200.0,1920.0,283.0194339616981,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,Supported,Single Sim,not_available,Wi-Fi
iBall,4.2,9000,Quad,4.0,1.4,2.0,16.0,3500.0,0.0,Unknown,7.0,600x1024,600.0,1024.0,169.54777786686512,0.0,2.0,0.0,5.0,0.0,Unknown,0.0,64GB,Dual Sim,not_available,Wi-Fi
iBall,4.4,14999,SC9863A,4.0,1.6,4.0,64.0,7000.0,0.0,Unknown,10.1,1920x1200,1920.0,1200.0,224.17380907857276,0.0,8.0,0.0,13.0,0.0,Unknown,0.0,256GB,Single Sim,not_available,Wi-Fi
Lenovo,4.5,8899,Snapdragon,8.0,1.8,2.0,32.0,4850.0,0.0,Unknown,10.1,1280x800,1280.0,800.0,149.44920605238187,0.0,2.0,0.0,5.0,0.0,Unknown,0.0,256GB,Single Sim,not_available,Wi-Fi
