Actual_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type,Product_Type,Technology,noise cancellation,anc,waterproof,fast charging,bass,enc,playtime,gaming
1765.0,Skullcandy,S2IMY-M448,Black,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
2999.0,Wings,Bass Drops 101,White,In Ear,Bluetooth,headset,Unknown,Yes,Yes,No,No,Yes,No,Yes,No
27999.0,Skullcandy,Crusher Evo,Black,On Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
4599.0,PTron,Bassbuds Verse,Grey,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,Yes,Yes,Yes,No
4490.0,boAt,Airdopes Atom 83,Carbon Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
2490.0,boAt,AIRDOPES 163,Active Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
4599.0,PTron,Bassbuds Revv,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,No,Yes
5499.0,Wings,Phantom Pro Gaming TWS with 40 Hrs Playtime Bluetooth Headset,White,In Ear,Bluetooth,headset,bluetooth 5.3,No,No,No,No,No,Yes,Yes,Yes
19999.0,Skullcandy,Hesh ANC,Mod White,On Ear,Bluetooth,headset,Unknown,No,Yes,No,No,No,No,No,No
2499.0,ZEBRONICS,Zeb-Yoga 101,Grey,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
2490.0,boAt,Rockerz 333 with ASAP Charge and upto 30 Hours Playback,Cherry Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
5999.0,ZEBRONICS,Zeb-Blitz,White,On Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,Yes
3999.0,Noise,"Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Jet Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,Yes,Yes,No
3499.0,Boult,Curve Wireless Neckband Magnetic Earphone With Mic,"Black, Grey",In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,No,No
3999.0,Noise,Buds Combat,Covert white,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,Yes,Yes,Yes
349.0,ZEBRONICS,ZEB-HARK,Black,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
3499.0,Noise,Buds VS202 Truly Wireless,Charcoal Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
7499.0,Skullcandy,s2dmw-p744,Chill Grey,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,No,No,No
2999.0,Wings,Phantom 550,Black,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,No,Yes,Yes
3999.0,PTron,Basspods P81 Pro,White,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,No,No
3199.0,PTron,Basspods Flare,Black,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,Yes,No,Yes,Yes
1999.0,Portronics,Harmonics Twins S3,White,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,No,No,No
2999.0,Noise,Buds VS102 Truly Wireless,Pearl White,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,Yes,No
7499.0,Skullcandy,S2DMW-P752,Golden Red,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,No,No,No
2499.0,PTron,InTunes Beats,"Black, Red",In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
2999.0,Noise,Buds VS102 Truly Wireless,Celeste Blue,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,Yes,No
2699.0,PTron,InTunes Ultima,"Black, Blue",In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,No,No
3499.0,Noise,Buds VS202 Truly Wireless,Midnight Blue,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
349.0,ZEBRONICS,Zeb- Bro Plus,Black,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
3999.0,Noise,Buds Combat,Shadow grey,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,Yes,Yes,Yes
12999.0,Skullcandy,Indy Evo,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
1999.0,Portronics,Harmonics X1 Sports,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
5999.0,Boult,AirBass GearPods,White,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,Yes,No
1999.0,Portronics,HARMONICS RWINS S3 Smart TWS Bluetooth 5.2 Earbuds with 20 Hrs Playtime,Black,In Ear,Bluetooth,earbuds,bluetooth 5.2,No,No,No,No,No,No,Yes,No
1999.0,ZEBRONICS,8 bit Gaming Headphone,Black,On Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,Yes
599.0,Portronics,Conch 80 In Ear,Red,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
3999.0,Skullcandy,Cassette Wireless,Black,On Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
349.0,ZEBRONICS,ZEB-HARK,Black,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
3499.0,Noise,Beads Truly Wireless,Onyx Black,In Ear,Bluetooth,headset,bluetooth v5.1,No,No,No,No,No,No,Yes,No
4999.0,Boult,"Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,Yes,Yes,Yes
3999.0,PTron,Basspods P251+,White,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,Yes,No,No
4999.0,Boult,XPods,Blue,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,Yes,No,Yes,No
399.0,ZEBRONICS,ZEB-CALYX earphone,Black,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
399.0,ZEBRONICS,ZEB-CALYX,White,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
5999.0,Boult,Airbass XPods Pro,White,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,Yes,No
3499.0,Noise,Buds VS202 Truly Wireless,Mint Green,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
12999.0,Skullcandy,Indy Evo True,Pure mint,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
3499.0,Noise,Beads Truly Wireless,Pearl White,In Ear,Bluetooth,headset,bluetooth v5.1,No,No,No,No,No,No,Yes,No
2999.0,ZEBRONICS,Zeb Sound Bomb 6,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
12999.0,Skullcandy,"Grind True Wireless Earbuds, Voice Control",Black,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,No,No,No
1599.0,ZEBRONICS,ZEB-BANG,Orange,On Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
3490.0,boAt,Rockerz 510 / Rockerz 518,Molten Orange,On Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,No,No
2999.0,Wings,Phantom 205 Neck band with touch controls,Grey,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,Yes
2990.0,boAt,Rockerz 255 Arc,Fern Green,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
2990.0,boAt,Rockerz 255 Arc,Wave Blue,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
19999.0,Skullcandy,Hesh ANC,Black,On Ear,Bluetooth,headset,Unknown,No,Yes,No,No,No,No,No,No
5999.0,Boult,AirBass GearPods,White,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,Yes,No
1699.0,PTron,Boom Gaming,Black,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,Yes
899.0,PTron,Pride Lite HBE,Black,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
1399.0,ZEBRONICS,Zeb Yoga 4,"Black, Yellow",In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
3490.0,boAt,Rockerz 510 / Rockerz 518,Molten Orange,On Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,No,No
2499.0,ZEBRONICS,Zeb-Duke 1,Red,On Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
4599.0,PTron,Bassbuds Xtreme,Grey & Black,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,Yes,No,Yes,Yes
999.0,Skullcandy,S2DUYK-441 JIB,White,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
3199.0,(Refurbished),Twinspro,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
3199.0,PTron,Bassbuds Epic,Black,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,Yes,Yes,Yes,Yes
4999.0,Boult,Airbass Z40,Brown,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,Yes,Yes,No
2999.0,Noise,Buds VS304,Pearl White,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,Yes,No
699.0,ZEBRONICS,Zeb-Buds C2,Red,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
4499.0,Boult,ProBass EQCharge,Red,In Ear,Bluetooth,headset,Unknown,No,No,No,Yes,Yes,Yes,Yes,No
